implementation,byte_value,time_ns,sample_id
Safe Toy (CT SBox),3,81984.0,39
Safe (PyCryptodome),3,4233.4,39
Vulnerable (Naive),3,14393.0,40
Safe Toy (CT SBox),3,57093.8,40
Safe (PyCryptodome),3,2807.6,40
Vulnerable (Naive),3,10616.6,41
Safe Toy (CT SBox),3,45724.2,41
Safe (PyCryptodome),3,2776.0,41
Vulnerable (Naive),3,10847.8,42
Safe Toy (CT SBox),3,50482.6,42
Safe (PyCryptodome),3,3359.2,42
Vulnerable (Naive),3,15313.2,43
Safe Toy (CT SBox),3,54453.8,43
Safe (PyCryptodome),3,2244.0,43
Vulnerable (Naive),3,9735.4,44
Safe Toy (CT SBox),3,37779.0,44
Safe (PyCryptodome),3,2182.8,44
Vulnerable (Naive),3,10367.6,45
Safe Toy (CT SBox),3,54868.8,45
Safe (PyCryptodome),3,2674.0,45
Vulnerable (Naive),3,11235.4,46
Safe Toy (CT SBox),3,54483.4,46
Safe (PyCryptodome),3,2898.6,46
Vulnerable (Naive),3,11026.4,47
Safe Toy (CT SBox),3,64105.8,47
Safe (PyCryptodome),3,4473.0,47
Vulnerable (Naive),3,16789.8,48
Safe Toy (CT SBox),3,75260.6,48
Safe (PyCryptodome),3,3500.4,48
Vulnerable (Naive),3,14373.8,49
Safe Toy (CT SBox),3,58178.2,49
Safe (PyCryptodome),3,3172.4,49
Vulnerable (Naive),4,12693.8,0
Safe Toy (CT SBox),4,82246.8,0
Safe (PyCryptodome),4,6408.0,0
Vulnerable (Naive),4,27375.6,1
Safe Toy (CT SBox),4,97470.8,1
Safe (PyCryptodome),4,5032.2,1
Vulnerable (Naive),4,21411.2,2
Safe Toy (CT SBox),4,145859.2,2
Safe (PyCryptodome),4,8450.0,2
Vulnerable (Naive),4,37081.6,3
Safe Toy (CT SBox),4,119833.0,3
Safe (PyCryptodome),4,5353.6,3
Vulnerable (Naive),4,26512.8,4
Safe Toy (CT SBox),4,85938.0,4
Safe (PyCryptodome),4,4324.0,4
Vulnerable (Naive),4,11049.8,5
Safe Toy (CT SBox),4,65220.4,5
Safe (PyCryptodome),4,4291.6,5
Vulnerable (Naive),4,20229.2,6
Safe Toy (CT SBox),4,49744.0,6
Safe (PyCryptodome),4,3343.8,6
Vulnerable (Naive),4,13793.6,7
Safe Toy (CT SBox),4,49363.0,7
Safe (PyCryptodome),4,2622.6,7
Vulnerable (Naive),4,11486.2,8
Safe Toy (CT SBox),4,41992.2,8
Safe (PyCryptodome),4,2479.0,8
Vulnerable (Naive),4,8725.6,9
Safe Toy (CT SBox),4,37518.0,9
Safe (PyCryptodome),4,2346.2,9
Vulnerable (Naive),4,9010.0,10
Safe Toy (CT SBox),4,36556.2,10
Safe (PyCryptodome),4,2287.8,10
Vulnerable (Naive),4,8952.0,11
Safe Toy (CT SBox),4,40543.8,11
Safe (PyCryptodome),4,1955.0,11
Vulnerable (Naive),4,8598.6,12
Safe Toy (CT SBox),4,34955.6,12
Safe (PyCryptodome),4,2022.8,12
Vulnerable (Naive),4,8274.4,13
Safe Toy (CT SBox),4,58058.8,13
Safe (PyCryptodome),4,5191.6,13
Vulnerable (Naive),4,21712.4,14
Safe Toy (CT SBox),4,90563.0,14
Safe (PyCryptodome),4,2904.2,14
Vulnerable (Naive),4,12472.2,15
Safe Toy (CT SBox),4,91513.6,15
Safe (PyCryptodome),4,5573.6,15
Vulnerable (Naive),4,22455.6,16
Safe Toy (CT SBox),4,103937.6,16
Safe (PyCryptodome),4,6767.4,16
Vulnerable (Naive),4,20694.0,17
Safe Toy (CT SBox),4,97157.8,17
Safe (PyCryptodome),4,6292.4,17
Vulnerable (Naive),4,23556.2,18
Safe Toy (CT SBox),4,97782.4,18
Safe (PyCryptodome),4,5685.2,18
Vulnerable (Naive),4,22136.4,19
Safe Toy (CT SBox),4,99518.6,19
Safe (PyCryptodome),4,5482.4,19
Vulnerable (Naive),4,21797.8,20
